location,gen_key,index,detail,text,rec_exp,age
main,main-stcu02-2,stcu,쿠폰 소멸 임박 알림,"안녕하세요, {회사명}입니다. 고객님이 보유하신 쿠폰이 곧 만료됩니다.",쿠폰 소멸 임박 알림,5060.0
main,main-stcu03-2,stcu,쿠폰 소멸 임박 알림,"안녕하세요, {회사명}입니다. {고객명} 고객님이 보유하신 쿠폰 만료일이 다가오고 있습니다.",쿠폰 소멸 임박 알림,5060.0
main,main-stcu04-2,stcu,쿠폰 소멸 임박 알림,"{고객명} 고객님! 쿠폰 유효기간이 얼마 남지 않았어요. 지금 사용하여 혜택을 받아보세요~!",쿠폰 소멸 임박 알림,5060.0
main,main-stcu05-2,stcu,쿠폰 소멸 임박 알림,"안녕하세요, {회사명}입니다. {고객명} 고객님이 보유하신 쿠폰이 만료되기 전에 사용하실 수 있도록 안내드립니다.",쿠폰 소멸 임박 알림,5060.0
main,main-stha01-2,stha,기념일 메시지 발송,고객님의 특별한 날을 축하드립니다! 기념일을 맞아 특별한 혜택을 준비했습니다. 행복한 하루 되세요!,기념일 메시지 발송,5060.0
main,main-stha02-2,stha,기념일 메시지 발송,기념일을 진심으로 축하드립니다! 오늘만을 위한 특별 할인 혜택을 놓치지 마세요. 멋진 하루 보내세요!,기념일 메시지 발송,5060.0
main,main-stha03-2,stha,기념일 메시지 발송,"고객님의 기념일을 축하드리며, 감사의 마음을 담아 특별한 선물을 준비했습니다. 기쁜 하루 되시길 바랍니다.",기념일 메시지 발송,5060.0
main,main-stha04-2,stha,기념일 메시지 발송,행복한 기념일 되세요! 특별한 날을 기념하여 특별 혜택을 드립니다. 지금 바로 확인해보세요.,기념일 메시지 발송,5060.0
main,main-stha05-2,stha,기념일 메시지 발송,"고객님의 기념일을 기념하여, 오늘만을 위한 특별 이벤트를 준비했습니다. 놓치지 말고 즐겨보세요!",기념일 메시지 발송,5060.0
main,main-stw01-2,stw,웰컴백 쿠폰 전달,"안녕하세요, {고객명} 고객님. 다시 찾아주셔서 감사드립니다! 웰컴백 쿠폰을 준비했으니, 지금 바로 사용해보세요. 특별한 혜택이 기다리고 있습니다!",웰컴백 쿠폰 전달,5060.0
main,main-stw02-2,stw,웰컴백 쿠폰 전달,"안녕하세요, {고객명} 고객님. 다시 돌아오신 걸 환영합니다! 고객님께 드리는 웰컴백 쿠폰을 지금 바로 사용해보세요.",웰컴백 쿠폰 전달,5060.0
main,main-stw03-2,stw,웰컴백 쿠폰 전달,"{고객명} 고객님, 다시 찾아와 주셔서 감사합니다! 고객님을 위한 특별한 웰컴백 쿠폰을 준비했습니다. 앞으로도 더 만족스러운 쇼핑 경험을 제공하기 위해 최선을 다하겠습니다!",웰컴백 쿠폰 전달,5060.0
main,main-stw04-2,stw,웰컴백 쿠폰 전달,환영합니다! 고객님을 위한 웰컴백 쿠폰이 준비되어 있습니다. 특별한 할인 혜택을 놓치지 마세요~!!,웰컴백 쿠폰 전달,5060.0
main,main-stw05-2,stw,웰컴백 쿠폰 전달,"고객님, 돌아오신 것을 환영합니다! 감사의 마음을 담아 웰컴백 쿠폰을 드립니다. 지금 사용하여 혜택을 받아보세요!",웰컴백 쿠폰 전달,5060.0
main,main-stre01-2,stre,Best 상품 후기 전달,"안녕하세요, {고객명} 고객님. 저희 베스트 상품에 대한 소중한 후기를 소개합니다! 더 많은 고객님들의 만족을 위해 항상 최선을 다하겠습니다. 지금 바로 베스트 상품을 만나보세요!",Best 상품 후기 전달,5060.0
main,main-stre02-2,stre,Best 상품 후기 전달,"안녕하세요, {고객명} 고객님. 인기 상품에 대한 후기를 소개합니다!",Best 상품 후기 전달,5060.0
main,main-stre03-2,stre,Best 상품 후기 전달,"베스트 상품에 대한 솔직한 후기를 전해드립니다!",Best 상품 후기 전달,5060.0
main,main-stre04-2,stre,Best 상품 후기 전달,"고객님들의 사랑을 받은 인기 상품 후기를 소개합니다!",Best 상품 후기 전달,5060.0
main,main-stre05-2,stre,Best 상품 후기 전달,"고객님, Best 상품의 후기를 전달드립니다. 많은 고객들이 추천하는 상품을 놓치지 마세요!",Best 상품 후기 전달,5060.0
main,main-stfc01-2,stfc,첫 구매 할인 쿠폰 제공,"{고객명} 고객님, 첫 구매 감사드립니다! 첫 구매 기념 특별 할인 쿠폰을 준비했으니 유효기간 내에 꼭 사용하시고 혜택을 놓치지 마세요~!!",첫 구매 할인 쿠폰 제공,5060.0
main,main-stfc02-2,stfc,첫 구매 할인 쿠폰 제공,"{고객명} 고객님, 첫 구매를 감사드립니다! 첫 구매 기념으로 특별 할인 쿠폰을 준비했습니다. 유효기간 내에 사용하여 특별한 혜택 놓치지 말고 챙겨가세요~!!",첫 구매 할인 쿠폰 제공,5060.0
main,main-stfc03-2,stfc,첫 구매 할인 쿠폰 제공,"안녕하세요, {고객명} 고객님. 첫 구매를 축하드리며, 특별한 할인 쿠폰을 준비했습니다! 유효기간 내에 사용하여 혜택을 놓치지 마세요. 앞으로도 더 나은 서비스와 혜택을 약속드립니다.",첫 구매 할인 쿠폰 제공,5060.0
main,main-stfc04-2,stfc,첫 구매 할인 쿠폰 제공,"안녕하세요, {고객명} 고객님. 첫 구매를 축하드리며, 특별한 할인 쿠폰을 준비했습니다! 앞으로도 더 나은 서비스와 혜택을 제공하기 위해 최선을 다하겠습니다. 즐거운 쇼핑 되세요!",첫 구매 할인 쿠폰 제공,5060.0
main,main-stfc05-2,stfc,첫 구매 할인 쿠폰 제공,"반가워요, {고객명} 고객님! 첫 구매를 축하드립니다! 고객님을 위해 특별한 할인 쿠폰을 준비했으니, 지금 바로 사용해보세요. 즐거운 쇼핑 되세요!",첫 구매 할인 쿠폰 제공,5060.0
main,main-stfp01-2,stfp,첫 구매 감사 메시지 발송,{고객명}님의 첫 구매에 깊은 감사의 마음을 전합니다! 앞으로도 저희 제품과 서비스에 많은 관심과 사랑 부탁드립니다. 행복한 하루 되세요!,첫 구매 감사 메시지 발송,5060.0
main,main-stfp02-2,stfp,첫 구매 감사 메시지 발송,"안녕하세요, {고객명} 고객님. 첫 구매를 축하드립니다! 앞으로도 더 좋은 서비스와 다양한 혜택을 약속드립니다. 고객님의 만족을 위해 항상 노력하겠습니다. 감사합니다!",첫 구매 감사 메시지 발송,5060.0
main,main-stfp03-2,stfp,첫 구매 감사 메시지 발송,"안녕하세요, {고객명} 고객님. 첫 구매를 축하드려요! 앞으로도 더욱 멋진 서비스와 혜택으로 보답하겠습니다. 저희와 함께한 첫 쇼핑이 만족스러우셨기를 바랍니다. 감사합니다!",첫 구매 감사 메시지 발송,5060.0
main,main-stfp04-2,stfp,첫 구매 감사 메시지 발송,"안녕하세요, {고객명} 고객님. 첫 구매를 감사드립니다! 앞으로도 최상의 쇼핑 경험을 제공하기 위해 노력하겠습니다. 특별한 혜택을 기대해주세요. 감사합니다!",첫 구매 감사 메시지 발송,5060.0
main,main-stfp05-2,stfp,첫 구매 감사 메시지 발송,"안녕하세요 {고객명} 고객님! 첫 구매 정말 감사드립니다. 고객님의 멋진 선택에 감사드리며, 앞으로도 즐거운 쇼핑 되시길 바랍니다. 감사합니다!",첫 구매 감사 메시지 발송,5060.0
main,main-stbr01-2,stbr,선호 카테고리 Best 상품 후기 전달,"안녕하세요, {고객명} 고객님. 저희 베스트 상품에 대한 소중한 후기를 소개합니다! 더 많은 고객님들의 만족을 위해 항상 최선을 다하겠습니다. 지금 바로 베스트 상품을 만나보세요!",선호 카테고리 Best 상품 후기 전달,5060.0
main,main-stbr02-2,stbr,선호 카테고리 Best 상품 후기 전달,"안녕하세요, {고객명} 고객님. 인기 상품에 대한 후기를 소개합니다!",선호 카테고리 Best 상품 후기 전달,5060.0
main,main-stbr03-2,stbr,선호 카테고리 Best 상품 후기 전달,"베스트 상품에 대한 솔직한 후기를 전해드립니다!",선호 카테고리 Best 상품 후기 전달,5060.0
main,main-stbr04-2,stbr,선호 카테고리 Best 상품 후기 전달,"고객님들의 사랑을 받은 인기 상품 후기를 소개합니다!",선호 카테고리 Best 상품 후기 전달,5060.0
main,main-stbr05-2,stbr,선호 카테고리 Best 상품 후기 전달,"고객님, Best 상품의 후기를 전달드립니다. 많은 고객들이 추천하는 상품을 놓치지 마세요!",선호 카테고리 Best 상품 후기 전달,5060.0
